Date,Geography,CPI,Income,Median_Income
1999,Canada,92.9,44600,36200
2000,Canada,95.4,45800,36600
2001,Canada,97.8,45700,36200
2002,Canada,100,45500,35700
2003,Canada,102.8,45200,35300
2004,Canada,104.7,45600,35300
2005,Canada,107,46400,36400
2006,Canada,109.1,46600,36500
2007,Canada,111.5,47500,37000
2008,Canada,114.1,48100,37500
2009,Canada,114.4,47800,37200
2010,Canada,116.5,48100,37200
2011,Canada,119.9,48200,37800
2012,Canada,121.7,49200,38300
2013,Canada,122.8,50100,38700
2014,Canada,125.2,50400,39200
2015,Canada,126.6,50500,38900
2016,Canada,128.4,50400,39000
2017,Canada,130.4,50900,39200
2018,Canada,133.4,51200,39800
2019,Canada,136,50700,40400
2020,Canada,137,50900,40200
2021,Canada,141.6,52800,41600
1981,British Columbia,51.8,46200,41000
1982,British Columbia,57.3,44400,39400
1983,British Columbia,60.4,43500,39000
1984,British Columbia,62.8,41900,35400
1985,British Columbia,64.8,41700,35100
1986,British Columbia,66.7,41000,34500
1987,British Columbia,68.7,41700,36800
1988,British Columbia,71.2,43200,36900
1989,British Columbia,74.4,43100,37900
1990,British Columbia,78.4,42700,36000
1991,British Columbia,82.6,41600,34200
1992,British Columbia,84.8,43000,34000
1993,British Columbia,87.8,41200,34300
1994,British Columbia,89.5,42100,34800
1995,British Columbia,91.6,42100,35600
1996,British Columbia,92.4,44300,36100
1997,British Columbia,93.1,43800,37000
1998,British Columbia,93.4,44300,36900
1999,British Columbia,94.4,45300,36700
2000,British Columbia,96.1,45400,37000
2001,British Columbia,97.7,45500,36500
2002,British Columbia,100,45300,34200
2003,British Columbia,102.2,44600,34400
2004,British Columbia,104.2,44400,33500
2005,British Columbia,106.3,45600,34300
2006,British Columbia,108.1,45700,35300
2007,British Columbia,110,46500,36200
2008,British Columbia,112.3,46600,35900
2009,British Columbia,112.3,45700,34900
2010,British Columbia,113.8,45700,34700
2011,British Columbia,116.5,45700,34900
2012,British Columbia,117.8,46300,35000
2013,British Columbia,117.7,47100,35900
2014,British Columbia,118.9,47700,36400
2015,British Columbia,120.2,46900,35600
2016,British Columbia,122.4,47900,36600
2017,British Columbia,125,47400,35700
2018,British Columbia,128.4,48600,36400
2019,British Columbia,131.4,49400,38100
2020,British Columbia,132.4,51100,40700
2021,British Columbia,136.1,53100,42100
